Gioi tinh,Dan toc,Trinh do hoc van cua bo me,Dinh duong,Khoa on thi,Toan ,Van,Anh
1,4,3,2,1,59,78,76
1,2,2,1,0,66,69,68
2,5,3,1,0,76,71,72
1,4,5,1,0,74,79,82
1,2,1,1,1,94,87,92
2,3,3,2,0,63,61,54
1,5,1,1,1,95,89,92
1,4,5,2,0,40,59,54
1,2,2,1,0,82,82,80
2,1,2,1,0,68,70,66
2,2,4,2,0,55,59,54
2,3,5,1,0,79,78,77
1,3,4,1,0,86,92,87
2,4,3,1,0,76,71,73
2,1,2,1,0,64,50,43
2,4,2,2,0,62,49,52
1,2,2,1,1,54,61,62
1,2,5,2,1,77,97,94
1,3,2,1,1,76,87,85
1,4,3,1,0,74,89,84
1,5,3,1,1,66,74,73
1,4,2,1,1,66,78,78
1,2,2,2,1,67,78,79
2,4,3,1,0,71,49,52
1,3,1,1,0,91,86,84
2,4,4,1,0,69,58,57
2,3,5,2,0,54,59,50
2,3,2,1,1,53,52,49
2,5,3,1,0,68,60,59
2,3,2,2,1,56,61,60
1,3,2,2,0,36,53,43
1,4,4,2,0,29,41,47
1,3,1,1,0,62,74,70
1,3,1,1,1,68,67,73
1,3,2,1,0,47,54,53
2,5,1,1,1,62,61,58
1,5,1,1,1,79,88,94
2,2,2,1,1,73,69,68
1,3,4,2,1,66,83,83
2,3,1,1,1,51,60,58
1,4,2,1,0,51,66,62
2,5,4,1,1,85,66,71
2,1,1,1,1,97,92,86
2,3,2,1,1,75,69,68
2,4,1,2,1,79,82,80
1,3,1,1,0,81,77,79
1,4,1,1,0,82,95,89
1,4,5,1,0,64,63,66
2,5,2,2,1,78,83,80
1,1,2,1,1,92,100,97
2,3,2,1,1,72,67,64
1,3,2,2,0,62,67,64
2,3,5,1,0,79,72,69
2,3,2,2,0,79,76,65
2,2,4,2,1,87,90,88
1,2,1,1,0,40,48,50
2,4,3,2,0,77,62,64
2,5,1,1,0,53,45,40
1,3,3,2,0,32,39,33
1,3,1,1,1,55,72,79
2,3,5,2,0,61,67,66
1,2,1,2,0,53,70,70
2,4,2,1,0,73,66,62
1,4,3,1,1,74,75,79
1,3,3,1,0,63,74,74
2,3,4,1,1,96,90,92
1,4,3,2,1,63,80,80
2,2,4,2,0,48,51,46
2,2,1,1,0,48,43,45
1,5,4,2,1,92,100,100
1,4,5,2,1,61,71,78
2,2,2,2,0,63,48,47
2,4,4,2,0,68,68,67
2,2,3,1,1,71,75,70
2,1,4,1,0,91,96,92
1,3,3,1,0,53,62,56
1,3,2,2,1,50,66,64
1,5,2,1,0,74,81,71
2,1,1,2,1,40,55,53
2,1,3,1,1,61,51,52
1,2,2,1,0,81,91,89
1,2,3,2,1,48,56,58
1,4,5,1,0,53,61,68
1,4,2,1,0,81,97,96
1,5,2,1,0,77,79,80
1,4,4,2,0,63,73,78
1,4,1,1,1,73,75,80
1,4,3,1,0,69,77,77
1,3,1,1,0,65,76,76
1,1,2,1,0,55,73,73
1,3,4,2,0,44,63,62
1,3,3,1,0,54,64,65
1,1,2,1,0,48,66,65
2,3,3,2,0,58,57,54
2,1,2,1,0,71,62,50
2,5,4,1,0,68,68,64
1,5,2,1,0,74,76,73
1,3,4,1,1,92,100,99
1,3,4,1,1,56,79,72
2,2,2,2,0,30,24,15
2,1,2,1,0,53,54,48
1,4,2,1,0,69,77,73
1,4,2,1,0,65,82,81
1,4,5,1,0,54,60,63
1,3,2,1,0,29,29,30
1,5,3,1,0,76,78,80
2,4,2,2,0,60,57,51
2,4,5,2,1,84,89,90
2,3,2,1,0,75,72,62
1,3,1,1,0,85,84,82
1,3,5,2,0,40,58,54
1,5,3,1,0,61,64,62
1,2,1,1,0,58,63,65
2,4,3,2,1,69,60,63
1,3,3,1,0,58,59,66
2,3,4,1,1,94,90,91
1,3,1,1,0,65,77,74
1,1,1,1,0,82,93,93
1,3,2,1,0,60,68,72
1,5,4,1,0,37,45,38
2,4,4,1,0,88,78,83
2,4,5,1,0,95,81,84
2,3,1,2,1,65,73,68
1,3,2,2,0,35,61,54
2,2,4,2,0,62,63,56
2,3,2,2,1,58,51,52
2,1,3,1,1,100,96,86
1,5,4,2,0,61,58,62
2,4,3,1,1,100,97,99
2,2,1,2,1,69,70,63
2,4,1,1,0,61,48,46
2,4,3,2,0,49,57,46
1,3,2,1,1,44,51,55
2,4,3,1,0,67,64,70
2,2,2,1,0,79,60,65
1,2,4,1,1,66,74,81
1,3,2,1,0,75,88,85
2,4,2,1,0,84,84,80
2,1,2,1,0,71,74,64
1,2,2,2,1,67,80,81
1,4,2,1,1,80,92,88
2,5,3,1,0,86,76,74
1,4,1,1,0,76,74,73
2,4,2,1,0,41,52,51
1,4,1,2,1,74,88,90
1,2,2,2,0,72,81,79
1,5,2,1,1,74,79,80
2,2,2,1,0,70,65,60
1,2,4,1,1,65,81,81
1,4,1,1,0,59,70,65
1,5,2,2,0,64,62,68
1,2,2,1,0,50,53,55
1,4,3,1,1,69,79,81
2,3,2,2,1,51,56,53
1,1,2,1,1,68,80,76
1,4,3,1,1,85,86,98
1,1,1,1,1,65,70,74
1,2,2,1,0,73,79,79
1,2,3,1,0,62,67,67
2,3,1,2,0,77,67,64
2,4,2,1,0,69,66,61
1,4,1,2,0,43,60,58
2,4,1,1,0,90,87,85
2,3,3,2,0,74,77,73
2,3,2,1,0,73,66,63
1,4,3,2,0,55,71,69
1,3,2,1,0,65,69,67
2,4,1,1,0,80,63,63
1,3,2,2,1,50,60,60
1,3,3,2,1,63,73,71
1,2,4,2,0,77,85,87
2,3,3,1,0,73,74,61
2,4,1,1,1,81,72,77
1,3,2,2,0,66,76,68
2,4,1,2,0,52,57,50
1,3,3,1,0,69,78,76
1,3,1,1,1,65,84,84
1,4,2,1,1,69,77,78
1,2,3,1,1,50,64,66
1,5,3,1,1,73,78,76
1,3,2,1,1,70,82,76
2,4,1,2,0,81,75,78
2,4,3,2,0,63,61,60
1,4,2,1,0,67,72,74
2,2,2,1,0,60,68,60
2,2,2,1,0,62,55,54
1,3,2,2,1,29,40,44
2,2,3,1,1,62,66,68
1,5,5,1,1,94,99,100
2,5,3,1,1,85,75,68
2,4,1,2,0,77,78,73
2,1,2,2,0,53,58,44
2,5,3,2,0,93,90,83
1,3,1,1,0,49,53,53
1,5,1,2,0,73,76,78
1,3,4,2,1,66,74,81
1,4,1,1,0,77,77,73
1,3,2,1,0,49,63,56
1,4,3,2,0,79,89,86
1,3,1,1,1,75,82,90
1,1,4,1,0,59,72,70
1,4,1,1,1,57,78,79
2,3,2,2,0,66,66,59
1,5,4,1,1,79,81,82
1,2,2,1,0,57,67,72
2,1,4,1,1,87,84,87
1,4,3,1,0,63,64,67
1,2,2,2,1,59,63,64
2,1,4,2,0,62,72,65
2,4,2,1,0,46,34,36
2,3,3,1,0,66,59,52
2,4,2,1,0,89,87,79
1,4,1,2,1,42,61,58
2,3,3,1,1,93,84,90
1,5,2,1,1,80,85,85
1,4,3,1,0,98,100,99
2,4,5,1,0,81,81,84
1,2,2,1,1,60,70,74
1,2,1,2,1,76,94,87
2,3,1,1,1,73,78,72
1,3,1,1,1,96,96,99
1,3,2,1,0,76,76,74
2,5,1,2,1,91,73,80
1,3,3,2,0,62,72,70
2,4,2,2,1,55,59,59
1,2,2,2,1,74,90,88
2,3,2,1,0,50,48,42
2,2,3,1,0,47,43,41
2,5,3,1,1,81,74,71
1,5,1,1,1,65,75,77
2,5,2,1,1,68,51,57
1,4,2,2,0,73,92,84
2,3,3,1,0,53,39,37
1,2,1,2,1,68,77,80
2,1,2,2,0,55,46,43
1,3,3,1,1,87,89,94
2,4,2,1,0,55,47,44
1,5,3,2,0,53,58,57
2,3,5,1,0,67,57,59
2,3,1,1,0,92,79,84
1,2,3,2,1,53,66,73
2,4,1,1,0,81,71,73
2,3,2,2,0,61,60,55
2,4,4,1,0,80,73,72
1,1,1,2,0,37,57,56
1,3,2,1,0,81,84,82
1,3,1,1,1,59,73,72
2,2,3,2,0,55,55,47
2,4,1,1,0,72,79,74
2,4,2,1,0,69,75,71
2,3,3,1,0,69,64,68
1,3,4,2,0,50,60,59
2,2,3,1,1,87,84,86
2,4,2,1,1,71,69,68
2,5,3,1,0,68,72,65
2,3,5,2,1,79,77,75
1,3,2,1,1,77,90,85
2,3,1,2,0,58,55,53
1,5,1,1,0,84,95,92
2,4,3,1,0,55,58,52
2,5,4,2,1,70,68,72
1,4,3,2,1,52,59,65
2,2,3,1,1,69,77,77
1,3,2,2,0,53,72,64
1,4,2,1,0,48,58,54
2,4,2,1,1,78,81,86
1,2,2,1,0,62,62,63
2,4,3,1,0,60,63,59
1,2,2,1,0,74,72,72
1,3,2,1,1,58,75,77
2,2,2,1,1,76,62,60
1,4,2,1,0,68,71,75
2,1,3,2,0,58,60,57
2,2,2,1,0,52,48,49
2,4,4,1,0,75,73,74
1,2,2,2,1,52,67,72
1,3,4,2,0,62,78,79
2,2,3,1,0,66,65,60
1,2,2,2,0,49,58,55
1,2,2,1,0,66,72,70
1,3,3,2,0,35,44,43
1,1,3,1,1,72,79,82
2,5,1,1,1,94,85,82
1,4,1,2,0,46,56,57
1,2,5,1,0,77,90,84
1,2,2,2,1,76,85,82
1,3,1,1,1,52,59,62
2,3,4,1,1,91,81,79
1,2,2,1,1,32,51,44
1,5,2,2,0,72,79,77
1,2,3,1,0,19,38,32
2,3,1,2,0,68,65,61
1,3,5,2,0,52,65,61
1,2,2,1,0,48,62,60
1,4,3,2,0,60,66,70
2,4,2,2,0,66,74,69
2,5,2,1,1,89,84,77
1,2,2,1,0,42,52,51
1,5,1,2,1,57,68,73
2,4,2,1,0,70,70,70
1,5,1,2,0,70,84,81
2,5,3,1,0,69,60,54
1,3,1,1,0,52,55,57
2,3,2,1,1,67,73,68
2,3,2,1,1,76,80,73
1,5,1,1,0,87,94,95
1,2,3,1,0,82,85,87
1,3,3,1,0,73,76,78
2,1,3,2,0,75,81,74
1,4,3,2,0,64,74,75
1,5,2,2,0,41,45,40
2,3,2,1,0,90,75,69
2,2,4,1,0,59,54,51
2,1,2,1,0,51,31,36
2,1,2,2,0,45,47,49
1,3,5,1,1,54,64,67
2,5,2,1,1,87,84,76
1,3,2,1,0,72,80,83
2,2,2,1,1,94,86,87
1,1,4,1,0,45,59,64
2,4,4,2,1,61,70,76
1,2,2,2,0,60,72,68
1,3,2,1,0,77,91,88
1,1,2,1,1,85,90,92
1,4,4,2,0,78,90,93
2,5,3,2,1,49,52,51
1,2,2,2,0,71,87,82
1,3,2,2,0,48,58,52
2,3,2,1,0,62,67,58
1,3,1,2,1,56,68,70
1,3,2,1,0,65,69,76
1,4,2,2,1,69,86,81
2,2,2,1,0,68,54,53
1,1,3,2,0,61,60,57
1,3,4,2,1,74,86,89
2,1,4,1,0,64,60,58
1,2,2,1,1,77,82,89
2,2,3,1,0,58,50,45
1,3,2,1,1,60,64,74
2,5,2,1,0,73,64,57
1,1,2,1,1,75,82,79
2,2,1,2,1,58,57,53
1,3,1,1,0,66,77,73
1,4,2,2,0,39,52,46
2,3,2,1,0,64,58,51
1,2,2,2,1,23,44,36
2,2,3,2,1,74,77,76
1,4,2,2,1,40,65,64
2,5,5,1,0,90,85,84
2,3,5,1,1,91,85,85
2,4,2,1,0,64,54,50
1,3,2,1,0,59,72,68
2,4,1,1,0,80,75,69
2,3,5,1,0,71,67,67
1,1,2,1,0,61,68,63
1,5,3,1,0,87,85,93
2,5,2,1,0,82,67,61
2,3,2,1,0,62,64,55
1,2,4,1,0,97,97,96
2,2,3,2,0,75,68,65
1,3,4,1,0,65,79,81
2,2,2,1,1,52,49,46
2,3,1,2,0,87,73,72
1,3,1,1,0,53,62,53
1,5,5,2,0,81,86,87
2,4,4,2,1,39,42,38
1,3,3,1,1,71,71,80
2,3,1,1,0,97,93,91
2,4,3,1,1,82,82,88
2,3,2,2,0,59,53,52
2,2,1,1,0,61,42,41
2,5,1,2,1,78,74,72
2,3,1,2,0,49,51,51
2,2,2,1,0,59,58,47
1,3,3,1,1,70,72,76
2,2,1,1,1,82,84,78
2,5,1,2,0,90,90,82
1,3,4,2,0,43,62,61
2,3,3,2,0,80,64,66
2,4,3,1,0,81,82,84
2,3,2,1,0,57,61,54
1,4,2,1,0,59,72,80
1,4,1,1,0,64,76,74
2,3,4,1,1,63,64,66
1,5,4,1,1,71,70,70
1,2,2,2,0,64,73,71
2,4,4,2,0,55,46,44
1,5,1,1,0,51,51,54
1,3,1,1,1,62,76,80
1,5,1,1,1,93,100,95
2,3,2,2,0,54,72,59
1,4,3,2,0,69,65,74
2,4,2,2,0,44,51,48
1,5,3,1,1,86,85,91
1,5,1,1,0,85,92,85
1,1,5,2,0,50,67,73
2,4,2,1,1,88,74,75
1,5,1,1,0,59,62,69
1,5,2,2,0,32,34,38
2,2,2,2,0,36,29,27
1,2,2,2,1,63,78,79
2,4,1,1,1,67,54,63
1,4,2,1,1,65,78,82
2,4,5,1,0,85,84,89
1,3,5,1,0,73,78,74
1,1,2,2,1,34,48,41
1,4,4,2,1,93,100,100
1,4,2,2,0,67,84,84
2,4,3,1,0,88,77,77
2,2,2,1,0,57,48,51
1,4,3,1,1,79,84,91
1,3,4,2,0,67,75,72
2,5,4,1,1,70,64,70
2,4,4,2,0,50,42,48
1,1,3,1,0,69,84,82
1,3,4,1,1,52,61,66
1,3,4,2,1,47,62,66
1,2,1,2,0,46,61,55
1,5,3,1,0,68,70,66
2,5,4,1,1,100,100,100
1,3,2,1,0,44,61,52
1,3,1,1,1,57,77,80
2,2,3,1,1,91,96,91
2,4,2,2,0,69,70,67
1,3,2,2,0,35,53,46
2,4,2,1,0,72,66,66
1,2,1,2,0,54,65,65
2,4,2,2,0,74,70,69
2,5,2,1,1,74,64,60
2,5,1,2,0,64,56,52
1,4,2,2,1,65,61,71
2,5,1,2,1,46,43,44
1,3,2,2,0,48,56,51
2,3,3,2,1,67,74,70
2,4,3,2,0,62,57,62
2,4,1,2,1,61,71,73
2,3,4,2,1,70,75,74
2,3,1,1,1,98,87,90
2,4,3,2,0,70,63,58
2,1,1,1,0,67,57,53
1,5,2,2,0,57,58,57
2,4,3,1,1,85,81,85
2,4,2,1,1,77,68,69
2,3,5,2,1,72,66,72
1,4,5,1,0,78,91,96
2,3,2,1,0,81,66,64
2,1,2,2,1,61,62,61
1,2,2,1,0,58,68,61
1,3,1,1,0,54,61,58
2,2,2,1,0,82,82,80
1,4,3,2,0,49,58,60
2,2,2,2,1,49,50,52
1,5,2,2,1,57,75,73
2,5,2,1,0,94,73,71
1,4,3,1,1,75,77,83
1,5,2,2,0,74,74,72
2,3,2,1,1,58,52,54
1,3,3,1,0,62,69,69
2,5,1,1,0,72,57,62
2,3,3,1,0,84,87,81
1,4,5,1,0,92,100,100
1,4,2,1,0,45,63,59
2,3,2,1,0,75,81,71
1,1,3,1,0,56,58,64
1,4,2,2,0,48,54,53
1,5,1,1,0,100,100,100
1,3,2,2,1,65,76,75
2,4,3,1,0,72,57,58
1,4,3,1,0,62,70,72
2,1,2,1,1,66,68,64
2,3,3,1,0,63,63,60
1,5,1,1,0,68,76,67
1,2,4,1,0,75,84,80
1,4,4,1,0,89,100,100
2,3,2,1,1,78,72,69
1,1,2,2,1,53,50,60
1,4,3,2,0,49,65,61
1,1,3,1,0,54,63,67
1,3,3,1,1,64,82,77
2,2,3,2,1,60,62,60
2,3,1,1,0,62,65,58
2,4,2,1,1,55,41,48
1,3,1,1,0,91,95,94
1,2,2,2,0,8,24,23
2,4,2,1,0,81,78,78
2,2,2,1,1,79,85,86
1,1,3,1,1,78,87,91
1,3,2,1,0,74,75,82
2,1,2,1,0,57,51,54
1,3,1,1,0,40,59,51
2,5,2,1,1,81,75,76
1,1,2,2,0,44,45,45
1,4,3,2,1,67,86,83
2,5,2,2,1,86,81,75
1,2,2,1,1,65,82,78
1,4,1,2,0,55,76,76
1,4,4,2,0,62,72,74
2,1,2,1,0,63,63,62
1,5,5,1,1,88,99,95
2,3,2,2,0,62,55,55
1,3,2,2,1,59,71,65
1,4,3,1,1,68,78,77
1,4,3,2,0,77,86,86
